"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"Olooneys Market","588 Haight St","","San Francisco","CA","94117","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Other Avenues","3930 Judah St","","San Francisco","CA","94122","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Outer Sunset Farmers Market & Mercantile","1994 37th Ave","","San Francisco","CA","94116","SAN FRANCISCO","Farmers and Markets","","","USDA","San Francisco (City, 2020)"
"Oxbridge Market","790 Silver Ave","","San Francisco","CA","94134","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Palou Market","4919 3rd St","","San Francisco","CA","94124","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Pang Kee Bargain Market","1308 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Papa Johns #3654","69 Cambon Dr","","San Francisco","CA","94132","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Park Plaza Fine Foods","111 Cambon Dr","","San Francisco","CA","94132","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Park Presidio Liquors","4400 California St","","San Francisco","CA","94118","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Parkside Farmers Market","555 Taraval St","","San Francisco","CA","94116","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Pay And Save Market none","599 Guerrero St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Pine & Taylor Market","996 Pine St","","San Francisco","CA","94108","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Plaza Snacks & Deli 1","77 McAllister St","","San Francisco","CA","94102","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Polk Market 4152405317","634 Polk St","","San Francisco","CA","94102","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Polk-n-Post Convenience Store","1101 Post St","","San Francisco","CA","94109","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Popstar Shawarma","91 6th St","","San Francisco","CA","94103","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Portola Grocery Outlet","1390 Silver Ave","","San Francisco","CA","94134","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Potrero Shell 159","2890 3rd St","","San Francisco","CA","94107","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Punj Liquor","2301 Van Ness Ave","","San Francisco","CA","94109","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"RICHMOND NEW MAY WAH SUPERMARKET","707 Clement St # 719","","San Francisco","CA","94118","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"ROUND THE CLOCK","1001 Bush St","","San Francisco","CA","94109","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Radman's Produce Market","201 Turk St Ste D","","San Francisco","CA","94102","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Rainbow Grocery Co-op","1745 Folsom St","","San Francisco","CA","94103","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Rainbow Market & Deli","684 Larkin St","","San Francisco","CA","94109","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Rapti Liquor & Grocery 1","330 5th St","","San Francisco","CA","94107","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Ray Market And Deli Inc","2898 Folsom St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Red A Dim Sum","634 Clement St","","San Francisco","CA","94118","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Ricci's Market","2790 24th St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Richland Market","648 Andover St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
